K2-id, type, obsl, obs_nu, obs_nu_e
211411922,sg,0,504.37,0.08
211411922,sg,1,515.41,0.21
211411922,sg,1,524.95,0.14
211411922,sg,0,539.09,0.06
211411922,sg,1,556.42,0.16
211411922,sg,0,574.54,0.04
211411922,sg,1,584.83,0.70
211411922,sg,0,611.09,0.04
211411922,sg,1,634.58,0.04
211409560,rg,2,216.60,0.05
211409560,rg,0,218.95,0.04
211409560,rg,1,228.65,0.15
211409560,rg,2,236.04,0.04
211409560,rg,0,237.85,0.05
211409560,rg,1,246.14,0.05
211409560,rg,1,248.58,0.04
211409560,rg,2,254.74,0.04
211409560,rg,0,257.17,0.03
211409560,rg,1,264.23,0.04
211409560,rg,1,267.24,0.04
211409560,rg,-1,271.79,0.04
211409560,rg,2,273.87,0.17
211409560,rg,0,276.01,0.04
211409560,rg,1,278.18,0.04
211409560,rg,1,284.13,0.04
211409560,rg,1,287.11,0.04
211409560,rg,-1,292.0,0.06
211409560,rg,2,293.33,0.04
211409560,rg,0,295.25,0.03
211409560,rg,1,300.49,0.04
211409560,rg,1,305.15,0.03
211409560,rg,2,312.63,0.07
211409560,rg,0,314.4,0.18
211409560,rg,1,328.48,0.15
211409560,rg,0,334.19,0.21
211416749,rg,2,190.6,0.25
211416749,rg,1,200.8,0.08
211416749,rg,1,203.1,0.05
211416749,rg,0,209.2,0.32
211416749,rg,1,216.97,0.04
211416749,rg,1,219.11,0.06
211416749,rg,2,224.17,0.04
211416749,rg,0,226.20,0.03
211416749,rg,1,234.31,0.03
211416749,rg,1,236.81,0.04
211416749,rg,2,241.28,0.50
211416749,rg,0,243.00,0.04
211416749,rg,1,245.85,0.04
211416749,rg,1,250.60,0.20
211416749,rg,1,252.59,0.04
211416749,rg,2,257.91,0.49
211416749,rg,0,259.85,0.15
211416749,rg,1,268.0,0.04
211416749,rg,2,275.6,0.35
